População por Faixa Etária por Zona de Residência - 2012;;;;;;;;;;;;
Zona;até 3;4 a 6;7 a 10;11 a 14;15 a 17;18 a 22;23 a 29;30 a 39;40 a 49;50 a 59;60 e mais;Total
1;14451.5346528;11698.8613856;11698.8613856;17204.20792;17892.3762368;35784.7524736;69504.9999968001;90150.0495008002;58494.3069280001;70193.1683136001;89461.8811840002;486534.999977592
2;35245.8211762;21332.9970277;44521.0372752;37100.864396;28753.1699069;51013.6885445001;78839.3368415;100172.3338692;98317.2906493999;66781.5559128001;60288.9046435001;622367.000242904
3;33013.750011;25010.416675;39016.250013;41017.083347;41017.083347;59024.583353;78032.5000259999;104043.333368;95039.5833649999;86035.8333619999;119049.583373;720300.000240005
4;24858.722952;33144.963936;41431.20492;37879.958784;43798.702344;63922.430448;100618.64052;150336.086424;136131.10188;106537.38408;179929.804224;918589.000511984
5;6987.467052;6114.0336705;7860.9004335;4949.4558285;5822.88921;16595.2342485;22418.1234585;32899.3240365;27367.579287;30279.023892;46291.9692195;207586.000336504
6;20106.0377388;17786.1103074;32478.9840396;25519.2017454;19332.728595;35572.2206148;61091.4223601999;78877.5326675999;62638.0406477999;79650.8418113999;99756.8795501998;532810.000078199
7;6268.3084548;6268.3084548;11193.407955;21491.3432736;18804.9253644;28655.1243648;36266.6417742;51041.9402747999;46116.8407746;51937.4129111999;81935.7462305997;359979.999832805
8;14367.2899623;13061.172693;16544.1520778;18721.0141933;13931.9175392;30911.4420401;39618.8905021001;50938.5735027001;47455.5941179001;41360.3801945001;50938.5735027001;337849.000325597
9;20916.5538274;20916.5538274;20916.5538274;25463.6307464;19097.7230598;38195.4461196;53200.7999523001;70934.3999364001;68660.8614769001;59566.7076389001;75026.7691635001;472895.99957601
10;39336.439896;29502.329922;53541.2654140001;52448.586528;34965.724352;57911.9809580001;76487.52202;114731.28303;110360.567486;80858.237564;95063.0630819999;745207.000251993
11;23318.5738002;18321.7365573;24984.1862145;23318.5738002;20542.5531097;37198.6772527001;43305.9227718001;71066.1296768002;51078.7807052001;43861.1269099001;45526.7393242001;402523.000122494
12;20519.669835;14774.1622812;22161.2434218;31600.2915459;21340.4566284;33652.2585294;45553.6670337;70587.6642323999;67714.9104554999;47195.2406205;59917.4359181999;435017.000501992
13;26979.944736;18885.9613152;35073.9281568;33050.4323016;30352.437828;39795.4184856;54634.3880904001;89708.3162472001;64751.8673664001;51936.3936168001;43167.9115776;488336.999721603
14;4443.529402;2888.2941113;3110.4705814;4665.7058721;1777.4117608;8664.8823339;15774.5293771;27549.8822923999;18662.8234884;21328.9411296;45990.5293106999;154856.999659702
15;5838.2151426;6486.905714;7459.9415711;6486.905714;7784.2868568;13622.5019994;25623.2775703;40543.1607125001;30488.4568558;38921.4342840001;60976.9137116001;244232.000132097
16;7906.5345203;5581.0831908;7441.4442544;7441.4442544;5115.9929249;14417.7982429;30230.8672835;43718.4849945999;30695.9575494;39997.7628673999;70228.6301508998;262776.000233503
17;25935.668972;19451.751729;23990.4937991;23990.4937991;18154.9682804;35661.5448365;36958.3282851;86884.4910562003;66784.3476029001;50574.5544954001;81697.3572618002;470084.000117495
18;26886.856048;28955.075744;35159.734832;52739.602248;39296.174224;66183.030272;88933.4469279999;136502.499936;112717.973432;96172.2158639998;135468.390088;819014.999615995
19;31684.3071002;39139.4381826;49390.2434209;51254.0261915;37275.655412;67096.1797415999;80142.6591357999;123941.5542449;101576.1609977;75483.2022092999;89461.5729887999;746444.9996253
20;46632.911793;39458.617671;63372.9314110001;53807.2059150001;40654.333358;75330.0882810001;110005.843204;130333.009883;142290.166753;72938.6569070001;78917.2353420001;853741.000517992
21;25283.7391356;18388.1739168;28348.4347884;32179.3043544;18388.1739168;43671.9130524;63592.4347956;101901.1304556;59761.5652296;58229.2174032;61293.913056;511038.000104394
22;14121.4185648;9414.2790432;11767.848804;15298.2034452;16769.1845457;27654.4446894;40010.6859335999;50013.3574169999;42364.2556943999;43246.8443546999;56191.4780390998;326852.000531102
23;6436.7674452;7867.1602108;5721.5710624;10012.7493592;10370.3475506;16807.1149958;29323.0516948;45414.9703078;32899.0336088;39335.801054;72592.4328542001;276781.0001436
24;27095.4571085;20794.1880135;32766.599294;39067.868389;29615.9647465;42848.629846;59862.0564025001;97669.6709725002;73094.7215020001;56081.2949455001;57341.5487645001;536237.999984493
25;61825.399957;51760.799964;74765.599948;102083.799929;86267.99994;129401.99991;142342.199901;186913.99987;215669.99985;159595.799889;169660.399882;1380287.99904002
26;73320.590229;61300.821339;75724.5440069999;98562.1048979999;58896.867561;115389.781344;151449.088014;210345.955575001;182700.487128;170680.718238;153853.041792;1352224.00012503
27;58868.919779;54808.994277;69018.733534;85258.435542;54808.994277;99468.174799;152247.206325;227355.828112001;176606.759337;184726.610341;253745.343875001;1416914.00019798
28;50474.940544;44165.572976;52052.282436;55206.96622;66248.3594639999;83599.1202759999;137228.744604;175084.950012;186126.343256;134074.06082;182971.659472;1167233.00008002
29;32115.9049206;25832.3583057;41192.1389198999;51664.7166113999;41192.1389198999;68420.8409177999;85176.9652241998;124972.7604519;120085.5575292;78893.4186092998;94253.1992234998;763799.999633411
30;7004.644809;11207.4316944;14943.2422592;19146.0291446;17278.1238622;21480.9107476;32221.3661214;35023.224045;37358.105648;36891.1293274;23815.7923506;256370.000009399
31;109057.26598;62917.65345;98570.9904050001;123738.051785;81792.949485;148905.113165;192947.47058;308296.501905001;241184.338225001;174072.174545;201336.49104;1742819.00056501
Total;901303.185545302;747236.207586199;1056219.22046201;1202368.2580818;947340.614606804;1606857.3268829;2233643.07672738;3227952.39900981;2805194.37882695;2347437.14411142;2936151.19019571;20011703.0020306
