Viagens Diárias Atraídas por Modo Principal e por Zona de Destino - 2012;;;;;;;;;;;;;
Zona;Ônibus ;Transporte fretado;Transporte escolar;Dirigindo automóvel;Passageiro de automóvel;Táxi;Metró;Trem;Moto;Bicicleta;A Pé;Outros;Total
1;479130.793685933;2576.09530757432;18409.7475335762;413252.484466196;156048.238808018;31723.0121818375;691599.303476618;73888.1018586672;74032.9775577719;15425.4095571324;834387.247314597;0;2790473.41174792
2;261917.0993753;3988.8943906669;76296.6666509664;209837.196904877;76679.5949499985;417.975465936009;35307.0174038397;32170.7667339862;38212.4202644846;2372.70390926806;367706.485715008;2904.76900528423;1107811.59076962
3;304343.54095492;1169.32812462618;81046.8603210912;258368.000901639;111408.015379823;1587.30359056218;51937.5462212892;5797.74841633759;10249.5071380453;7015.96874775705;383450.410725489;0;1216374.23052158
4;475465.036348276;3635.86619133309;99317.6626874175;442244.049285007;186091.375674875;6552.01251244587;199923.902602077;15279.1923748618;32583.8368123324;24610.6735947308;430340.244129002;4988.20026135021;1921032.05247371
5;130336.596527737;1189.48441209947;16904.7782174913;204308.593546538;83685.1901294876;2832.93868294985;76620.5442816814;25729.9749413404;15978.7171869748;1244.17712931575;128970.849324471;523.332613857617;688325.176993945
6;198296.391879607;903.875515776396;35158.9159343573;174828.620929176;81400.0654358644;0;44194.9601684045;4152.63666541985;23461.516577665;8190.37347050894;356202.490716859;2767.12037585056;929556.967669488
7;172451.638840545;3773.89019806237;31914.2115008291;263650.40385602;109749.39557561;531.481042011192;104256.238140782;26594.2618463623;17271.1965586252;1046.66522771523;252081.281468297;5090.53642663733;988411.200681495
8;100811.488763768;3067.73853896141;22489.1277265237;157513.193229142;78778.1727710067;479.684672148887;89358.4660778403;3235.73416256405;10768.1760941195;2544.40592510379;208908.846215736;0;677955.034176915
9;176044.248312622;1929.08268939139;54797.6666737108;199240.42763098;96836.2884568361;1594.44312603358;99298.986818159;8197.22539296276;11356.0848838916;1062.96208402238;240520.669088325;1062.96208402238;891941.047240957
10;263602.606543116;7663.00799295859;93836.7677754677;160750.403443885;129452.330617611;531.481042011192;97150.2668746136;43576.8608685978;17828.0748072949;21839.6079788806;468976.007321783;1404.91999765771;1306612.33526388
11;156754.069442688;648.94541944808;58949.791027425;130005.34371726;64426.4911965655;0;79776.9634170313;14339.3118195907;9579.42253405241;1756.85267097532;300395.771199576;0;816632.962444613
12;175635.775871135;3837.47737719109;41838.5424344869;105143.882686736;53666.6203215172;479.684672148887;32469.3757776037;4377.7259928867;9239.33077108955;3781.98354866972;331978.78483738;2398.42336074443;764847.607651589
13;130398.918432066;0;35337.7407418987;83334.6836634657;27322.7331518716;0;73606.6713206531;43969.2902448018;4450.78974439014;0;335698.315288908;0;734119.142588055
14;204245.832068962;3151.77088312355;5860.31676363545;209498.670746017;59254.7614378405;19016.7033804941;183926.002110445;17981.8598923838;15197.8975751522;2635.92419746181;192186.602805058;0;912956.341860574
15;260289.612123654;5895.79380388264;20017.5311450656;368899.998013408;111825.118128442;19577.3330826716;82298.8223257962;38581.4493367026;43621.6498262041;5168.17006143228;233611.260346611;1418.86817880003;1191205.60637267
16;144269.591911093;543.616621299989;7850.38610013499;214902.719063619;63438.2518992246;6421.08598067451;217628.432545818;799.441640814578;9106.55677724618;4101.69726157241;227868.610728047;0;896930.390529545
17;188565.139551916;3789.33450435433;41172.8076068684;210265.024107865;112087.801566747;2273.6007026126;92821.6714079954;11666.1107374689;33003.1723935603;7625.16152512337;374608.612791921;0;1077878.43689643
18;538986.899012588;15572.439910167;121321.796735509;399738.668131137;147740.352224074;2796.5283020395;173999.8614299;34663.547519306;58137.9343993542;8147.79616259177;486432.329220979;0;1987538.15304764
19;324585.781439526;4356.93183399608;85114.8355879626;142905.69381537;49041.2273372986;0;67225.023293746;38481.8527785715;31680.0646091357;22873.8921284794;552265.256328123;0;1318530.55915221
20;326816.347998673;12318.6354699267;80230.8529902738;161615.879531215;91335.5292385971;0;82746.2536801632;9411.3473648829;38295.5239821536;2795.2032947604;591371.802529221;2795.2032947604;1399732.57937463
21;248982.299023812;4035.8463190268;83711.1483912154;187840.687874852;63691.0895898527;3582.14225976967;33391.3152309373;11446.8424630143;35427.953115192;5214.24616686482;314218.495641581;3690.73885970282;995232.804935821
22;179744.827420148;3482.96389733232;39017.4388581283;164308.40742992;67805.3833272044;603.557626894014;45411.8461377394;25163.1447819257;22150.8795032359;5721.6850579469;173380.545131057;0;726790.679171532
23;279325.287345597;5427.45622507155;20320.2187708114;336971.301791986;109327.300060603;8991.30960209002;144203.990123023;77558.6763535657;28641.0232900086;3198.29074188763;198202.981292336;1297.89083889616;1213465.72643588
24;144896.258431471;24374.8324773203;31670.2840843128;134589.239692267;74135.4300257883;0;35843.4130384012;72489.0217832527;22832.0652700859;0;303445.512621787;1473.0364690378;845749.093893723
25;645386.989128832;28318.4703422506;107555.823528442;473386.061012968;197259.736005567;0;67270.4419119852;11545.3628414203;65223.2312028321;22103.1179512517;921967.643802893;5895.31973560504;2545912.19746405
26;465247.024572822;26693.4799554965;58561.94504193;423159.709479913;225937.861095442;4214.75999297313;73954.6398608952;109779.063017697;53003.7039144991;35122.9999414428;1103353.08484218;10110.0797285782;2589138.35144387
27;554736.015133413;70491.6518183246;197295.941717256;812399.578257211;416792.029217903;9490.81563707224;75694.0884451896;184504.72274099;106876.48949122;13247.0797342656;958918.245557754;7118.11172780418;3407564.7694784
28;614424.167256667;60781.8505885615;152840.970914554;618132.418789438;309428.725591083;7374.64817333621;42530.3236934581;7982.48774194487;65300.8399847923;0;776896.855194592;2372.70390926806;2658065.99183769
29;292731.884964603;13638.3809505939;75475.008483712;231227.441722591;78611.1478680688;1632.10390709516;46552.1555250444;8552.01395039024;28917.433161479;9792.62344257095;504853.59569126;6528.41562838063;1298512.20529579
30;121047.594845106;5054.30622772653;15661.8302098082;96598.9343794578;39829.9081010703;0;6306.97950374264;1106.95650303209;10720.3157170873;2183.28447825442;177530.437921876;903.875515776396;476944.423402938
31;823812.989810775;67115.5264830294;201154.505228216;655372.50404825;233562.69726476;2451.35799050577;71683.4971551055;178117.156314101;95811.2524799885;26964.9378955635;977459.799977042;5718.76793455913;3339224.9925819
Total;9383282.74701737;389426.974469574;2011132.12138308;8644290.22214841;3706648.86244865;135155.963626314;3218988.99999998;1141139.88907984;1038960.03762396;267787.89388555;13708189.0757698;70463.2759465733;43715466.0633991
