N̼mero de Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2012;;;
Zona;Trabalho externo;Trabalho interno;Total
1;142788.7661414;918550.8679753;1061339.6341167
2;47787.6952477;145774.5684953;193562.263743
3;60598.1424921;163101.0795687;223699.2220608
4;87247.8642534;348902.0376418;436149.9018952
5;27015.3623026;165022.2515257;192037.6138283
6;31314.9591162;113524.6765305;144839.6356467
7;41351.5198601;190315.202021499;231666.721881599
8;18183.6605089;71810.6830046001;89994.3435135001
9;28836.895566;137748.0543305;166584.9498965
10;49266.4609049;146294.9206182;195561.3815231
11;26116.9892092;94822.8088042002;120939.7980134
12;22275.2237393;92736.5858269999;115011.8095663
13;26112.2334234;72149.2761721001;98261.5095955001
14;49494.187532;343228.697690201;392722.885222201
15;79665.4576099001;423042.005965599;502707.463575499
16;37083.1923136;241372.8874211;278456.0797347
17;38258.5960065;156094.567007;194353.1630135
18;99487.05711;379318.818084799;478805.875194799
19;41474.5328695;172557.6614834;214032.1943529
20;55657.7229402;158613.724662501;214271.447602701
21;54696.0574188;168866.8342279;223562.8916467
22;38658.2921359999;153033.4481417;191691.7402777
23;66048.6812752;346580.9170013;412629.5982765
24;25879.5950842;123580.4702195;149460.0653037
25;95774.5660225;503908.653550298;599683.219572798
26;82654.6145909999;381199.6079706;463854.2225616
27;122353.3996474;455652.182230602;578005.581878002
28;120774.0753917;440301.156832399;561075.232224099
29;45414.9049803999;210849.605809601;256264.510790001
30;19850.990601;95076.7760721002;114927.7666731
31;149196.2521768;568023.609839501;717219.862016301
Total;1831317.9484719;7982054.6367255;9813372.5851974
;;;
Nota:;;;
(*) Trabalho externo refere-se a atividade desenvolvida na rua ou visitando clientes.;;;
